station,window_scale,start_idx,end_idx,start_time,end_time,regime_kmeans,regime_gmm,regime_hmm,regime_hierarchy_super
1500008,12,0,11,2025-01-01 00:00:00,2025-01-01 11:00:00,1,2,4,1
1500008,12,12,23,2025-01-01 12:00:00,2025-01-01 23:00:00,1,2,4,1
1500008,12,24,35,2025-01-02 00:00:00,2025-01-02 11:00:00,1,2,4,1
1500008,12,36,47,2025-01-02 12:00:00,2025-01-02 23:00:00,1,2,4,1
1500008,12,48,59,2025-01-03 00:00:00,2025-01-03 11:00:00,1,2,4,1
1500008,12,60,71,2025-01-03 12:00:00,2025-01-03 23:00:00,1,2,4,1
1500008,12,72,83,2025-01-04 00:00:00,2025-01-04 11:00:00,1,2,4,1
1500008,12,84,95,2025-01-04 12:00:00,2025-01-04 23:00:00,1,2,4,1
1500008,12,96,107,2025-01-05 00:00:00,2025-01-05 11:00:00,1,2,4,1
1500008,12,108,119,2025-01-05 12:00:00,2025-01-05 23:00:00,1,2,4,1
1500008,12,120,131,2025-01-06 00:00:00,2025-01-06 11:00:00,1,2,4,1
1500008,12,132,143,2025-01-06 12:00:00,2025-01-06 23:00:00,1,2,4,1
1500008,12,144,155,2025-01-07 00:00:00,2025-01-07 11:00:00,1,2,4,1
1500008,12,156,167,2025-01-07 12:00:00,2025-01-07 23:00:00,1,2,4,1
1500008,12,168,179,2025-01-08 00:00:00,2025-01-08 11:00:00,1,2,4,1
1500008,12,180,191,2025-01-08 12:00:00,2025-01-08 23:00:00,1,2,4,1
1500008,12,192,203,2025-01-09 00:00:00,2025-01-09 11:00:00,1,2,4,1
1500008,12,204,215,2025-01-09 12:00:00,2025-01-09 23:00:00,1,2,4,1
1500008,12,216,227,2025-01-10 00:00:00,2025-01-10 11:00:00,1,2,4,1
1500008,12,228,239,2025-01-10 12:00:00,2025-01-10 23:00:00,1,2,4,1
1500008,12,240,251,2025-01-11 00:00:00,2025-01-11 11:00:00,1,2,4,1
1500008,12,252,263,2025-01-11 12:00:00,2025-01-11 23:00:00,1,2,4,1
1500008,12,264,275,2025-01-12 00:00:00,2025-01-12 11:00:00,1,2,4,1
1500008,12,276,287,2025-01-12 12:00:00,2025-01-12 23:00:00,1,2,4,1
1500008,12,288,299,2025-01-13 00:00:00,2025-01-13 11:00:00,1,2,4,1
1500008,12,300,311,2025-01-13 12:00:00,2025-01-13 23:00:00,1,2,4,1
1500008,12,312,323,2025-01-14 00:00:00,2025-01-14 11:00:00,1,2,4,1
1500008,12,324,335,2025-01-14 12:00:00,2025-01-14 23:00:00,1,2,4,1
1500008,12,336,347,2025-01-15 00:00:00,2025-01-15 11:00:00,1,2,4,1
1500008,12,348,359,2025-01-15 12:00:00,2025-01-15 23:00:00,1,2,4,1
1500008,12,360,371,2025-01-16 00:00:00,2025-01-16 11:00:00,1,2,4,1
1500008,12,372,383,2025-01-16 12:00:00,2025-01-16 23:00:00,1,2,4,1
1500008,12,384,395,2025-01-17 00:00:00,2025-01-17 11:00:00,1,2,4,1
1500008,12,396,407,2025-01-17 12:00:00,2025-01-17 23:00:00,1,2,4,1
1500008,12,408,419,2025-01-18 00:00:00,2025-01-18 11:00:00,1,2,4,1
1500008,12,420,431,2025-01-18 12:00:00,2025-01-18 23:00:00,1,2,4,1
1500008,12,432,443,2025-01-19 00:00:00,2025-01-19 11:00:00,1,2,4,1
1500008,12,444,455,2025-01-19 12:00:00,2025-01-19 23:00:00,1,2,4,1
1500008,12,456,467,2025-01-20 00:00:00,2025-01-20 11:00:00,1,2,4,1
1500008,12,468,479,2025-01-20 12:00:00,2025-01-20 23:00:00,1,2,4,1
1500008,12,480,491,2025-01-21 00:00:00,2025-01-21 11:00:00,1,2,4,1
1500008,12,492,503,2025-01-21 12:00:00,2025-01-21 23:00:00,1,2,4,1
1500008,12,504,515,2025-01-22 00:00:00,2025-01-22 11:00:00,1,2,4,1
1500008,12,516,527,2025-01-22 12:00:00,2025-01-22 23:00:00,1,2,4,1
1500008,12,528,539,2025-01-23 00:00:00,2025-01-23 11:00:00,1,2,4,1
1500008,12,540,551,2025-01-23 12:00:00,2025-01-23 23:00:00,1,2,4,1
1500008,12,552,563,2025-01-24 00:00:00,2025-01-24 11:00:00,1,2,4,1
1500008,12,564,575,2025-01-24 12:00:00,2025-01-24 23:00:00,1,2,4,1
1500008,12,576,587,2025-01-25 00:00:00,2025-01-25 11:00:00,1,2,4,1
